Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
57GX49,KOSPI,한국GX49KOSPI200콜,,,,,,,
57GX50,KOSPI,한국GX50KOSPI200풋,,,,,,,
57GX51,KOSPI,한국GX51KOSPI200풋,,,,,,,
57GX52,KOSPI,한국GX52KOSPI200풋,,,,,,,
57GX53,KOSPI,한국GX53KOSPI200풋,,,,,,,
57GX54,KOSPI,한국GX54KOSPI200풋,,,,,,,
57GX55,KOSPI,한국GX55KOSPI200풋,,,,,,,
57GX56,KOSPI,한국GX56KOSPI200풋,,,,,,,
57GX57,KOSPI,한국GX57KOSPI200풋,,,,,,,
57GX58,KOSPI,한국GX58KOSPI200풋,,,,,,,
57GX59,KOSPI,한국GX59KOSPI200풋,,,,,,,
57GX60,KOSPI,한국GX60KOSPI200풋,,,,,,,
57GX61,KOSPI,한국GX61KOSPI200풋,,,,,,,
57GX62,KOSPI,한국GX62KOSPI200풋,,,,,,,
57GX63,KOSPI,한국GX63KOSPI200풋,,,,,,,
57GX64,KOSPI,한국GX64기아콜,,,,,,,
57GX65,KOSPI,한국GX65기아콜,,,,,,,
57GX68,KOSPI,한국GX68롯데케미콜,,,,,,,
57GX69,KOSPI,한국GX69롯데케미콜,,,,,,,
57GX70,KOSPI,한국GX70롯데케미콜,,,,,,,
57GX71,KOSPI,한국GX71삼성SDI콜,,,,,,,
57GX73,KOSPI,한국GX73삼성물산콜,,,,,,,
57GX74,KOSPI,한국GX74삼성물산콜,,,,,,,
57GX75,KOSPI,한국GX75삼성물산콜,,,,,,,
57GX76,KOSPI,한국GX76삼성바이콜,,,,,,,
57GX77,KOSPI,한국GX77삼성전기콜,,,,,,,
57GX78,KOSPI,한국GX78삼성전기콜,,,,,,,
57GX80,KOSPI,한국GX80삼성전자콜,,,,,,,
57GX81,KOSPI,한국GX81삼성전자콜,,,,,,,
57GX82,KOSPI,한국GX82삼성전자콜,,,,,,,
57GX83,KOSPI,한국GX83삼성전자콜,,,,,,,
57GX84,KOSPI,한국GX84삼성전자콜,,,,,,,
57GX85,KOSPI,한국GX85삼성전자콜,,,,,,,
57GX87,KOSPI,한국GX87셀트리온콜,,,,,,,
57GX88,KOSPI,한국GX88셀트리온콜,,,,,,,
57GX89,KOSPI,한국GX89셀트리온콜,,,,,,,
57GX90,KOSPI,한국GX90셀트리온콜,,,,,,,
57GX91,KOSPI,한국GX91셀트리온콜,,,,,,,
57GX92,KOSPI,한국GX92셀트헬스콜,,,,,,,
57GX93,KOSPI,한국GX93셀트헬스콜,,,,,,,
57GX94,KOSPI,한국GX94아모레콜,,,,,,,
57GX95,KOSPI,한국GX95아모레콜,,,,,,,
57GX96,KOSPI,한국GX96아모레콜,,,,,,,
57GX97,KOSPI,한국GX97NC소프트콜,,,,,,,
57GX98,KOSPI,한국GX98NC소프트콜,,,,,,,
57GX99,KOSPI,한국GX99NC소프트콜,,,,,,,
57GY01,KOSPI,한국GY01카카오콜,,,,,,,
57GY02,KOSPI,한국GY02카카오콜,,,,,,,
57GY03,KOSPI,한국GY03카카오콜,,,,,,,
57GY04,KOSPI,한국GY04하나금융콜,,,,,,,
57GY06,KOSPI,한국GY06한국전력콜,,,,,,,
57GY08,KOSPI,한국GY08한국조선콜,,,,,,,
57GY09,KOSPI,한국GY09한국조선콜,,,,,,,
57GY10,KOSPI,한국GY10한국조선콜,,,,,,,
57GY11,KOSPI,한국GY11현대건설콜,,,,,,,
57GY12,KOSPI,한국GY12모비스콜,,,,,,,
57GY13,KOSPI,한국GY13모비스콜,,,,,,,
57GY14,KOSPI,한국GY14모비스콜,,,,,,,
57GY15,KOSPI,한국GY15모비스콜,,,,,,,
57GY16,KOSPI,한국GY16현대제철콜,,,,,,,
57GY17,KOSPI,한국GY17현대제철콜,,,,,,,
57GY18,KOSPI,한국GY18현대차콜,,,,,,,
57GY19,KOSPI,한국GY19현대차콜,,,,,,,
57GY20,KOSPI,한국GY20현대차콜,,,,,,,
57GY21,KOSPI,한국GY21현대차콜,,,,,,,
57GY22,KOSPI,한국GY22현대차콜,,,,,,,
57GY23,KOSPI,한국GY23호텔신라콜,,,,,,,
57GY24,KOSPI,한국GY24엘지디스콜,,,,,,,
57GY25,KOSPI,한국GY25엘지디스콜,,,,,,,
57GY26,KOSPI,한국GY26엘지디스콜,,,,,,,
57GY27,KOSPI,한국GY27엘지전자콜,,,,,,,
57GY28,KOSPI,한국GY28엘지전자콜,,,,,,,
57GY29,KOSPI,한국GY29엘지전자콜,,,,,,,
57GY30,KOSPI,한국GY30엘지전자콜,,,,,,,
57GY31,KOSPI,한국GY31네이버콜,,,,,,,
57GY32,KOSPI,한국GY32네이버콜,,,,,,,
57GY33,KOSPI,한국GY33네이버콜,,,,,,,
57GY34,KOSPI,한국GY34네이버콜,,,,,,,
57GY35,KOSPI,한국GY35POSCO콜,,,,,,,
57GY36,KOSPI,한국GY36POSCO콜,,,,,,,
57GY37,KOSPI,한국GY37POSCO콜,,,,,,,
57GY38,KOSPI,한국GY38SK이노콜,,,,,,,
57GY40,KOSPI,한국GY40SK하이닉콜,,,,,,,
57GY41,KOSPI,한국GY41SK하이닉콜,,,,,,,
57GY42,KOSPI,한국GY42SK하이닉콜,,,,,,,
57GY43,KOSPI,한국GY43SK하이닉콜,,,,,,,
57GY44,KOSPI,한국GY44SK하이닉콜,,,,,,,
57GY45,KOSPI,한국GY45삼성전자풋,,,,,,,
57GY46,KOSPI,한국GY46현대차풋,,,,,,,
57GY47,KOSPI,한국GY47SK하이닉풋,,,,,,,
57GY68,KOSPI,한국GY68KOSPI200콜,,,,,,,
57GY69,KOSPI,한국GY69KOSPI200콜,,,,,,,
57GY70,KOSPI,한국GY70KOSPI200콜,,,,,,,
57GY71,KOSPI,한국GY71KOSPI200콜,,,,,,,
57GY72,KOSPI,한국GY72KOSPI200콜,,,,,,,
57GY73,KOSPI,한국GY73KOSPI200콜,,,,,,,
57GY74,KOSPI,한국GY74KOSPI200콜,,,,,,,
57GY75,KOSPI,한국GY75KOSPI200콜,,,,,,,
57GY76,KOSPI,한국GY76KOSPI200콜,,,,,,,
57GY77,KOSPI,한국GY77KOSPI200콜,,,,,,,
57GY78,KOSPI,한국GY78KOSPI200콜,,,,,,,
57GY79,KOSPI,한국GY79KOSPI200풋,,,,,,,
57GY80,KOSPI,한국GY80KOSPI200풋,,,,,,,
57GY81,KOSPI,한국GY81KOSPI200풋,,,,,,,
57GY82,KOSPI,한국GY82KOSPI200풋,,,,,,,
57GY83,KOSPI,한국GY83KOSPI200콜,,,,,,,
57GY84,KOSPI,한국GY84KOSPI200콜,,,,,,,
57GY85,KOSPI,한국GY85KOSPI200콜,,,,,,,
57GY86,KOSPI,한국GY86KOSPI200콜,,,,,,,
57GY87,KOSPI,한국GY87KOSPI200콜,,,,,,,
57GY88,KOSPI,한국GY88KOSPI200콜,,,,,,,
57GY89,KOSPI,한국GY89KOSPI200콜,,,,,,,
57GY90,KOSPI,한국GY90KOSPI200콜,,,,,,,
57GY91,KOSPI,한국GY91KOSPI200콜,,,,,,,
57GY92,KOSPI,한국GY92KOSPI200콜,,,,,,,
57GY93,KOSPI,한국GY93KOSPI200콜,,,,,,,
57GY94,KOSPI,한국GY94KOSPI200풋,,,,,,,
57GY95,KOSPI,한국GY95KOSPI200풋,,,,,,,
57GY96,KOSPI,한국GY96KOSPI200풋,,,,,,,
57GY97,KOSPI,한국GY97KOSPI200풋,,,,,,,
57GY98,KOSPI,한국GY98기아콜,,,,,,,
57GY99,KOSPI,한국GY99넷마블콜,,,,,,,
57GZ00,KOSPI,한국GZ00넷마블콜,,,,,,,
57GZ01,KOSPI,한국GZ01롯데케미콜,,,,,,,
57GZ02,KOSPI,한국GZ02롯데케미콜,,,,,,,
57GZ03,KOSPI,한국GZ03롯데케미콜,,,,,,,
57GZ05,KOSPI,한국GZ05삼성SDI콜,,,,,,,
57GZ06,KOSPI,한국GZ06삼성물산콜,,,,,,,
57GZ07,KOSPI,한국GZ07삼성물산콜,,,,,,,
57GZ08,KOSPI,한국GZ08삼성물산콜,,,,,,,
57GZ09,KOSPI,한국GZ09삼성물산콜,,,,,,,
57GZ10,KOSPI,한국GZ10삼성전기콜,,,,,,,
57GZ11,KOSPI,한국GZ11삼성전기콜,,,,,,,
57GZ12,KOSPI,한국GZ12삼성전자콜,,,,,,,
57GZ13,KOSPI,한국GZ13삼성전자콜,,,,,,,
57GZ14,KOSPI,한국GZ14삼성전자콜,,,,,,,
57GZ15,KOSPI,한국GZ15삼성전자콜,,,,,,,
57GZ16,KOSPI,한국GZ16삼성전자콜,,,,,,,
57GZ17,KOSPI,한국GZ17삼성전자콜,,,,,,,
57GZ18,KOSPI,한국GZ18삼성전자콜,,,,,,,
57GZ19,KOSPI,한국GZ19삼성전자콜,,,,,,,
57GZ20,KOSPI,한국GZ20삼성전자콜,,,,,,,
57GZ21,KOSPI,한국GZ21삼성전자콜,,,,,,,
57GZ22,KOSPI,한국GZ22삼성전자콜,,,,,,,
57GZ23,KOSPI,한국GZ23셀트리온콜,,,,,,,
57GZ24,KOSPI,한국GZ24셀트리온콜,,,,,,,
57GZ25,KOSPI,한국GZ25셀트리온콜,,,,,,,
57GZ26,KOSPI,한국GZ26셀트리온콜,,,,,,,
57GZ28,KOSPI,한국GZ28셀트헬스콜,,,,,,,
57GZ29,KOSPI,한국GZ29신한지주콜,,,,,,,
57GZ30,KOSPI,한국GZ30NC소프트콜,,,,,,,
57GZ31,KOSPI,한국GZ31NC소프트콜,,,,,,,
57GZ32,KOSPI,한국GZ32NC소프트콜,,,,,,,
57GZ34,KOSPI,한국GZ34카카오콜,,,,,,,
57GZ35,KOSPI,한국GZ35크래프톤콜,,,,,,,
57GZ36,KOSPI,한국GZ36한화솔루콜,,,,,,,
57GZ37,KOSPI,한국GZ37한화솔루콜,,,,,,,
57GZ38,KOSPI,한국GZ38한화솔루콜,,,,,,,
57GZ39,KOSPI,한국GZ39모비스콜,,,,,,,
57GZ40,KOSPI,한국GZ40모비스콜,,,,,,,
57GZ41,KOSPI,한국GZ41모비스콜,,,,,,,
57GZ42,KOSPI,한국GZ42현대제철콜,,,,,,,
57GZ43,KOSPI,한국GZ43현대제철콜,,,,,,,
57GZ44,KOSPI,한국GZ44현대차콜,,,,,,,
57GZ45,KOSPI,한국GZ45현대차콜,,,,,,,
57GZ46,KOSPI,한국GZ46현대차콜,,,,,,,
57GZ47,KOSPI,한국GZ47현대상선콜,,,,,,,
57GZ48,KOSPI,한국GZ48LG이노텍콜,,,,,,,
57GZ49,KOSPI,한국GZ49엘지전자콜,,,,,,,
57GZ50,KOSPI,한국GZ50엘지전자콜,,,,,,,
57GZ51,KOSPI,한국GZ51엘지전자콜,,,,,,,
57GZ52,KOSPI,한국GZ52LG화학콜,,,,,,,
57GZ53,KOSPI,한국GZ53LG화학콜,,,,,,,
57GZ54,KOSPI,한국GZ54네이버콜,,,,,,,
57GZ55,KOSPI,한국GZ55네이버콜,,,,,,,
57GZ56,KOSPI,한국GZ56POSCO콜,,,,,,,
57GZ57,KOSPI,한국GZ57POSCO콜,,,,,,,
57GZ58,KOSPI,한국GZ58POSCO콜,,,,,,,
57GZ59,KOSPI,한국GZ59POSCO콜,,,,,,,
57GZ60,KOSPI,한국GZ60SK콜,,,,,,,
57GZ62,KOSPI,한국GZ62SK이노콜,,,,,,,
57GZ63,KOSPI,한국GZ63SK이노콜,,,,,,,
57GZ64,KOSPI,한국GZ64SK이노콜,,,,,,,
57GZ65,KOSPI,한국GZ65삼성전자풋,,,,,,,
57GZ66,KOSPI,한국GZ66삼성전자풋,,,,,,,
57GZ67,KOSPI,한국GZ67셀트리온풋,,,,,,,
57GZ68,KOSPI,한국GZ68카카오풋,,,,,,,
57GZ69,KOSPI,한국GZ69현대차풋,,,,,,,
57GZ70,KOSPI,한국GZ70네이버풋,,,,,,,
57GZ71,KOSPI,한국GZ71SK하이닉풋,,,,,,,
57GZ72,KOSPI,한국GZ72SK하이닉풋,,,,,,,
57GZ73,KOSPI,한국GZ73KOSPI200콜,,,,,,,
57GZ74,KOSPI,한국GZ74KOSPI200콜,,,,,,,
57GZ75,KOSPI,한국GZ75KOSPI200콜,,,,,,,
57GZ76,KOSPI,한국GZ76KOSPI200콜,,,,,,,
57GZ77,KOSPI,한국GZ77KOSPI200콜,,,,,,,
57GZ78,KOSPI,한국GZ78KOSPI200콜,,,,,,,
57GZ79,KOSPI,한국GZ79KOSPI200콜,,,,,,,
57GZ80,KOSPI,한국GZ80KOSPI200콜,,,,,,,
57GZ81,KOSPI,한국GZ81KOSPI200풋,,,,,,,
57GZ82,KOSPI,한국GZ82KOSPI200풋,,,,,,,
57GZ83,KOSPI,한국GZ83KOSPI200풋,,,,,,,
57GZ84,KOSPI,한국GZ84KOSPI200풋,,,,,,,
57GZ85,KOSPI,한국GZ85KOSPI200풋,,,,,,,
57GZ86,KOSPI,한국GZ86KOSPI200풋,,,,,,,
57GZ87,KOSPI,한국GZ87KOSPI200풋,,,,,,,
57GZ88,KOSPI,한국GZ88KOSPI200풋,,,,,,,
57GZ89,KOSPI,한국GZ89KOSPI200풋,,,,,,,
57GZ90,KOSPI,한국GZ90KOSPI200풋,,,,,,,
57GZ91,KOSPI,한국GZ91KOSPI200풋,,,,,,,
57GZ92,KOSPI,한국GZ92KOSPI200풋,,,,,,,
57GZ93,KOSPI,한국GZ93KOSPI200풋,,,,,,,
57GZ94,KOSPI,한국GZ94KOSPI200풋,,,,,,,
57GZ95,KOSPI,한국GZ95KOSPI200풋,,,,,,,
57GZ96,KOSPI,한국GZ96KOSPI200풋,,,,,,,
57GZ97,KOSPI,한국GZ97KOSPI200풋,,,,,,,
57GZ98,KOSPI,한국GZ98KOSPI200풋,,,,,,,
57GZ99,KOSPI,한국GZ99KOSPI200풋,,,,,,,
57H001,KOSPI,한국H001금호석유콜,,,,,,,
57H002,KOSPI,한국H002금호석유콜,,,,,,,
57H003,KOSPI,한국H003기아콜,,,,,,,
57H004,KOSPI,한국H004넷마블콜,,,,,,,
57H005,KOSPI,한국H005넷마블콜,,,,,,,
57H006,KOSPI,한국H006넷마블콜,,,,,,,
57H007,KOSPI,한국H007넷마블콜,,,,,,,
57H008,KOSPI,한국H008넷마블콜,,,,,,,
57H009,KOSPI,한국H009두산퓨얼콜,,,,,,,
57H010,KOSPI,한국H010두산퓨얼콜,,,,,,,
57H011,KOSPI,한국H011롯데케미콜,,,,,,,
57H012,KOSPI,한국H012롯데케미콜,,,,,,,
57H013,KOSPI,한국H013삼성SDI콜,,,,,,,
57H014,KOSPI,한국H014삼성SDI콜,,,,,,,
57H015,KOSPI,한국H015삼성SDI콜,,,,,,,
57H016,KOSPI,한국H016삼성SDI콜,,,,,,,
57H017,KOSPI,한국H017삼성물산콜,,,,,,,
57H018,KOSPI,한국H018삼성물산콜,,,,,,,
57H019,KOSPI,한국H019삼성바이콜,,,,,,,
57H020,KOSPI,한국H020삼성바이콜,,,,,,,
57H021,KOSPI,한국H021삼성바이콜,,,,,,,
57H022,KOSPI,한국H022삼성엔지콜,,,,,,,
57H023,KOSPI,한국H023삼성전기콜,,,,,,,
57H024,KOSPI,한국H024삼성전기콜,,,,,,,
57H025,KOSPI,한국H025삼성전기콜,,,,,,,
57H026,KOSPI,한국H026삼성전기콜,,,,,,,
57H027,KOSPI,한국H027삼성전자콜,,,,,,,
57H028,KOSPI,한국H028삼성전자콜,,,,,,,
57H029,KOSPI,한국H029삼성전자콜,,,,,,,
57H030,KOSPI,한국H030삼성전자콜,,,,,,,
57H031,KOSPI,한국H031삼성전자콜,,,,,,,
57H032,KOSPI,한국H032삼성전자콜,,,,,,,
57H033,KOSPI,한국H033신한지주콜,,,,,,,
57H034,KOSPI,한국H034신한지주콜,,,,,,,
57H035,KOSPI,한국H035신한지주콜,,,,,,,
57H036,KOSPI,한국H036아모레콜,,,,,,,
57H037,KOSPI,한국H037아모레콜,,,,,,,
57H038,KOSPI,한국H038아모레콜,,,,,,,
57H039,KOSPI,한국H039아모레콜,,,,,,,
57H040,KOSPI,한국H040아모레콜,,,,,,,
57H041,KOSPI,한국H041에코프로콜,,,,,,,
57H042,KOSPI,한국H042에코프로콜,,,,,,,
57H043,KOSPI,한국H043NC소프트콜,,,,,,,
57H044,KOSPI,한국H044NC소프트콜,,,,,,,
57H045,KOSPI,한국H045NC소프트콜,,,,,,,
57H046,KOSPI,한국H046NC소프트콜,,,,,,,
57H047,KOSPI,한국H047NC소프트콜,,,,,,,
57H048,KOSPI,한국H048카카오콜,,,,,,,
57H049,KOSPI,한국H049카카오콜,,,,,,,
57H050,KOSPI,한국H050카카오콜,,,,,,,
57H051,KOSPI,한국H051카카오콜,,,,,,,
57H052,KOSPI,한국H052카카오콜,,,,,,,
57H053,KOSPI,한국H053카카오콜,,,,,,,
57H054,KOSPI,한국H054카카오콜,,,,,,,
57H055,KOSPI,한국H055카카오콜,,,,,,,
57H056,KOSPI,한국H056카카오콜,,,,,,,
57H057,KOSPI,한국H057카카오콜,,,,,,,
57H058,KOSPI,한국H058카카오게콜,,,,,,,
57H059,KOSPI,한국H059카카오게콜,,,,,,,
57H060,KOSPI,한국H060카카오게콜,,,,,,,
57H061,KOSPI,한국H061크래프톤콜,,,,,,,
57H062,KOSPI,한국H062팬오션콜,,,,,,,
57H063,KOSPI,한국H063포스코케콜,,,,,,,
57H064,KOSPI,한국H064포스코케콜,,,,,,,
57H065,KOSPI,한국H065하나금융콜,,,,,,,
57H066,KOSPI,한국H066하나금융콜,,,,,,,
57H067,KOSPI,한국H067하이브콜,,,,,,,
57H068,KOSPI,한국H068하이브콜,,,,,,,
